"dataset" "response_mean" "response_sd" "predictors" "k_fold" "sse" "test_mean" "test_sd" "mse" "mse_sqrt" "standardized_mse" "standardized_mse_sqrt" "num_training_samples" "num_coefficients" "r_squared" "r_squared_adjusted"
"1" 1 122.482683982684 72.7342257495304 "000" 1 475997.666816589 119.172413793103 64.2499569767501 4103.42816221197 64.0580062303844 63.8666289488235 7.99165996203689 462 1 0 0
"2" 1 121.034632034632 69.9395066452255 "000" 2 659913.485448173 124.939655172414 75.6504879484368 5688.90935731184 75.4248590141993 75.1999030222963 8.67178776390983 462 1 0 0
"3" 1 122.218614718615 72.6655029181373 "000" 3 480441.613181912 120.224137931034 64.604493881503 4141.73804467165 64.3563364764625 64.1091322883574 8.006817862819 462 1 0 0
"4" 1 121.291576673866 69.1941499220812 "000" 4 702738.671118492 123.939130434783 78.4684859031891 6110.77105320428 78.1714209491185 77.8754806196143 8.82470852887586 463 1 0 0
"5" 1 122.064794816415 70.8255288212106 "000" 5 597080.977412779 120.826086956522 72.3602416846367 5192.00849924156 72.0555931156046 71.752227167366 8.47066863756138 463 1 0 0
"6" 1 122.482683982684 72.7342257495304 "100" 1 170740.202226613 119.172413793103 64.2499569767501 1471.89829505701 38.3653267294442 22.9089382206067 4.78632826084951 462 2 0.71074884792537 0.710120041073034
"7" 1 121.034632034632 69.9395066452255 "100" 2 207523.639840459 124.939655172414 75.6504879484368 1788.99689517637 42.29653526208 23.6481871259806 4.86294017297978 462 2 0.705033277144083 0.704392045137874
"8" 1 122.218614718615 72.6655029181373 "100" 3 156115.344392301 120.224137931034 64.604493881503 1345.82193441638 36.68544581188 20.8317077274048 4.56417656619514 462 2 0.705501361625977 0.704861147194729
"9" 1 121.291576673866 69.1941499220812 "100" 4 199389.10226982 123.939130434783 78.4684859031891 1733.81828060713 41.6391436103953 22.0957274841041 4.70060926732951 463 2 0.695105961679634 0.69444458632536
"10" 1 122.064794816415 70.8255288212106 "100" 5 152048.851717394 120.826086956522 72.3602416846367 1322.16392797734 36.3615721329171 18.2719667208913 4.27457210968435 463 2 0.688906493313207 0.68823167008829
"11" 1 122.482683982684 72.7342257495304 "010" 1 467993.919694799 119.172413793103 64.2499569767501 4034.43034219655 63.5171657286166 62.7927321983495 7.92418653227885 462 2 0.0350383550198046 0.0329406123133258
"12" 1 121.034632034632 69.9395066452255 "010" 2 638871.095058482 124.939655172414 75.6504879484368 5507.50944015932 74.2125962364835 72.8020345871824 8.53241083089548 462 2 0.0322664134819505 0.0301626448156068
"13" 1 122.218614718615 72.6655029181373 "010" 3 454043.663903314 120.224137931034 64.604493881503 3914.16951640788 62.5633240517787 60.5866446935907 7.78374233216842 462 2 0.0275883674914344 0.025474429159894
"14" 1 121.291576673866 69.1941499220812 "010" 4 682757.904985431 123.939130434783 78.4684859031891 5937.02526074288 77.052094460455 75.661269519941 8.69834866626655 463 2 0.0333858461571165 0.0312890692507328
"15" 1 122.064794816415 70.8255288212106 "010" 5 579526.833108562 120.826086956522 72.3602416846367 5039.36376616141 70.9884762913067 69.6427160667064 8.34522115145587 463 2 0.0328591145334948 0.0307611950422443
"16" 1 122.482683982684 72.7342257495304 "110" 1 153285.845148602 119.172413793103 64.2499569767501 1321.42969955691 36.3514745169561 20.5670129870295 4.53508687756139 462 3 0.738438354700149 0.737298652541979
"17" 1 121.034632034632 69.9395066452255 "110" 2 188577.4431648 124.939655172414 75.6504879484368 1625.66761348966 40.3195686173557 21.4891887359366 4.63564329256864 462 3 0.733856581509002 0.732696915197494
"18" 1 122.218614718615 72.6655029181373 "110" 3 124961.482750274 120.224137931034 64.604493881503 1077.2541616403 32.8215502625987 16.6746010519978 4.0834545487856 462 3 0.726774198480163 0.725583672111885
"19" 1 121.291576673866 69.1941499220812 "110" 4 187615.819807873 123.939130434783 78.4684859031891 1631.44191137281 40.3911117867881 20.7910461453992 4.55971996348451 463 3 0.727884775067553 0.726701665393934
"20" 1 122.064794816415 70.8255288212106 "110" 5 147395.774166608 120.826086956522 72.3602416846367 1281.70238405746 35.8008712751164 17.7127985509422 4.20865757111958 463 3 0.72297416293611 0.721769702774962
"21" 1 122.482683982684 72.7342257495304 "001" 1 463710.099952219 119.172413793103 64.2499569767501 3997.50086165706 63.2257926929909 62.2179539062356 7.88783581891989 462 2 0.0466455916195397 0.0445730820361039
"22" 1 121.034632034632 69.9395066452255 "001" 2 625442.757662689 124.939655172414 75.6504879484368 5391.74791088525 73.4285224615425 71.2718193511224 8.44226387594716 462 2 0.0406351655174122 0.038549589790276
"23" 1 122.218614718615 72.6655029181373 "001" 3 444642.952396241 120.224137931034 64.604493881503 3833.1288999676 61.9122677663127 59.3322332498772 7.70274193062945 462 2 0.037094011658532 0.035000737770833
"24" 1 121.291576673866 69.1941499220812 "001" 4 683050.056153247 123.939130434783 78.4684859031891 5939.56570568041 77.0685779399128 75.6936448730307 8.70020947293976 463 2 0.0482556666124574 0.0461911452818987
"25" 1 122.064794816415 70.8255288212106 "001" 5 574290.79222564 120.826086956522 72.3602416846367 4993.83297587513 70.667057218163 69.0134922108117 8.30743595887514 463 2 0.044650815499961 0.0425784745357527
"26" 1 122.482683982684 72.7342257495304 "101" 1 149297.85052573 119.172413793103 64.2499569767501 1287.05043556663 35.8754851614112 20.0319268078634 4.47570405722535 462 3 0.746746814759879 0.745643315042057
"27" 1 121.034632034632 69.9395066452255 "101" 2 184105.092021035 124.939655172414 75.6504879484368 1587.1128622503 39.8385850934782 20.979545608907 4.5803433942126 462 3 0.742681003266507 0.741559787594466
"28" 1 122.218614718615 72.6655029181373 "101" 3 115723.749957655 120.224137931034 64.604493881503 997.618534117713 31.5850998750631 15.4419371498759 3.92962302897821 462 3 0.732838009803435 0.731673905270988
"29" 1 121.291576673866 69.1941499220812 "101" 4 182381.964591722 123.939130434783 78.4684859031891 1585.93012688454 39.8237382334273 20.2110453468057 4.49566962162543 463 3 0.736439258920224 0.73529334265466
"30" 1 122.064794816415 70.8255288212106 "101" 5 146945.764088695 120.826086956522 72.3602416846367 1277.78925294518 35.7461781585833 17.6587200815897 4.20222799019635 463 3 0.733092848217801 0.731932382340487
"31" 1 122.482683982684 72.7342257495304 "011" 1 461674.206608323 119.172413793103 64.2499569767501 3979.9500569683 63.0868453559718 61.9447894480072 7.87050121961792 462 3 0.0504571286214718 0.0463196869161187
"32" 1 121.034632034632 69.9395066452255 "011" 2 619346.801282362 124.939655172414 75.6504879484368 5339.19656277898 73.0698060951237 70.5771596135397 8.40102134347602 462 3 0.0421601673197466 0.0379865732775668
"33" 1 122.218614718615 72.6655029181373 "011" 3 441184.40339065 120.224137931034 64.604493881503 3803.31382233319 61.6710128207182 58.8707316446003 7.67272648050224 462 3 0.040314252958925 0.0361326157169158
"34" 1 121.291576673866 69.1941499220812 "011" 4 690386.457443078 123.939130434783 78.4684859031891 6003.36049950503 77.4813558187066 76.5066437870575 8.74680763404898 463 3 0.0559941416778666 0.0518897683808139
"35" 1 122.064794816415 70.8255288212106 "011" 5 573342.155993421 120.826086956522 72.3602416846367 4985.58396516018 70.6086677764152 68.8994929962858 8.30057184754676 463 3 0.0490930935890381 0.0449587157350775
"36" 1 122.482683982684 72.7342257495304 "111" 1 149034.570158872 119.172413793103 64.2499569767501 1284.78077723165 35.8438387624938 19.9966013626526 4.47175595964858 462 4 0.749024957093464 0.747381015764381
"37" 1 121.034632034632 69.9395066452255 "111" 2 183167.382102448 124.939655172414 75.6504879484368 1579.02915605558 39.7369998371239 20.8726896399115 4.56866387906918 462 4 0.744955713044907 0.743285117278825
"38" 1 122.218614718615 72.6655029181373 "111" 3 113295.931465733 120.224137931034 64.604493881503 976.689064359766 31.2520249641486 15.1179740863105 3.88818390592709 462 4 0.73428316479478 0.732542661507409
"39" 1 121.291576673866 69.1941499220812 "111" 4 180505.429804195 123.939130434783 78.4684859031891 1569.61243307996 39.6183345571209 20.003093152791 4.47248176662477 463 4 0.738214738491587 0.736503723710487
"40" 1 122.064794816415 70.8255288212106 "111" 5 147555.096017604 120.826086956522 72.3602416846367 1283.08779145743 35.8202148438201 17.7319445262418 4.21093155088536 463 4 0.735824556027701 0.734097919138993
"41" 2 6.05 3.09170391427206 "00" 1 431.79 5.80555555555556 3.50362623939781 11.9941666666667 3.46325954364767 3.42335792893485 1.85023185815585 140 1 0 0
"42" 2 5.87943262411348 3.21486542110012 "00" 2 315.608068004628 6.48571428571429 2.98399089822209 9.01737337156079 3.00289416589409 3.02191718377341 1.73836623982791 141 1 0 0
"43" 2 6.04964539007092 3.16527191595367 "00" 3 357.781298727428 5.8 3.234010440523 10.2223228207837 3.19723674769068 3.16088120579182 1.77788672467956 141 1 0 0
"44" 2 6.08510638297872 3.26559852685566 "00" 4 268.29606156632 5.65714285714286 2.77534160211015 7.6656017590377 2.76868231457452 2.76203900565227 1.66193832787269 141 1 0 0
"45" 2 5.93617021276596 3.12184186923921 "00" 5 396.291534631055 6.25714285714286 3.39846727686655 11.322615275173 3.36490940073771 3.33168288900302 1.82528980959272 141 1 0 0
"46" 2 6.05 3.09170391427206 "10" 1 436.862985796588 5.80555555555556 3.50362623939781 12.1350829387941 3.48354459405849 3.46357805017462 1.86106906109758 140 2 0.00182235417525681 -0.00541081717129943
"47" 2 5.87943262411348 3.21486542110012 "10" 2 316.712933165477 6.48571428571429 2.98399089822209 9.04894094758506 3.00814576568109 3.03249616243018 1.74140637486779 141 2 0.000353753866237552 -0.00683794574623553
"48" 2 6.04964539007092 3.16527191595367 "10" 3 357.780908360528 5.8 3.234010440523 10.2223116674437 3.19723500347467 3.16087775702744 1.77788575477375 141 2 4.73545694780223e-08 -0.00719419690906675
"49" 2 6.08510638297872 3.26559852685566 "10" 4 273.028368170111 5.65714285714286 2.77534160211015 7.80081051914604 2.79299311118843 2.81075688600456 1.67653120639151 141 2 0.00144580738801117 -0.00573803572430531
"50" 2 5.93617021276596 3.12184186923921 "10" 5 398.802235413057 6.25714285714286 3.39846727686655 11.3943495832302 3.37555174500854 3.35279073033653 1.83106273249622 141 2 0.000749145815968274 -0.00643970925010384
"51" 2 6.05 3.09170391427206 "01" 1 433.803093454234 5.80555555555556 3.50362623939781 12.0500859292843 3.471323368585 3.43931832504925 1.85453992274344 140 2 0.000590195622382078 -0.00665190440933983
"52" 2 5.87943262411348 3.21486542110012 "01" 2 315.643297849324 6.48571428571429 2.98399089822209 9.0183799385521 3.00306176069559 3.0222545061801 1.73846325994543 141 2 3.53907840755554e-06 -0.0071906800649133
"53" 2 6.04964539007092 3.16527191595367 "01" 3 358.803165807883 5.8 3.234010440523 10.2515190230824 3.20179934147697 3.16990906851386 1.78042384518795 141 2 0.000263519113461208 -0.00692882966989505
"54" 2 6.08510638297872 3.26559852685566 "01" 4 271.831764738179 5.65714285714286 2.77534160211015 7.76662184966225 2.78686595473522 2.79843816118243 1.67285329936084 141 2 0.00124997062115235 -0.00593528138876742
"55" 2 5.93617021276596 3.12184186923921 "01" 5 399.025516803497 6.25714285714286 3.39846727686655 11.4007290515285 3.37649656471445 3.35466789076755 1.83157524845897 141 2 0.00101235708889857 -0.00617460437089346
"56" 2 6.05 3.09170391427206 "11" 1 440.436564980508 5.80555555555556 3.50362623939781 12.2343490272363 3.49776343214293 3.49191043544049 1.86866541559491 140 3 0.00371066299192679 -0.0108337068914026
"57" 2 5.87943262411348 3.21486542110012 "11" 2 320.705708511266 6.48571428571429 2.98399089822209 9.16302024317903 3.02704810717951 3.07072660598211 1.75234888249518 141 3 0.0021328438940126 -0.0123289989481032
"58" 2 6.04964539007092 3.16527191595367 "11" 3 365.368787989379 5.8 3.234010440523 10.439108228268 3.23096088312254 3.22791420134679 1.79663969714208 141 3 0.00189588534447025 -0.0125693916795229
"59" 2 6.08510638297872 3.26559852685566 "11" 4 273.035362814488 5.65714285714286 2.77534160211015 7.80101036612822 2.79302888744965 2.81082889407089 1.67655268156741 141 3 0.0014458327955516 -0.0130259667291506
"60" 2 5.93617021276596 3.12184186923921 "11" 5 398.82820772066 6.25714285714286 3.39846727686655 11.3950916491617 3.37566166094319 3.35300908345605 1.83112235622201 141 3 0.00105105651664364 -0.013426464403405
"61" 3 2539.9419422043 1085.33839446896 "000" 1 436159944.844459 2493.51663978495 1083.26919846879 1172472.97001199 1082.80791002467 1082.34681801097 32.899039773388 1488 1 0 0
"62" 3 2508.39395833333 1077.61147235921 "000" 2 461773625.541725 2619.70857526882 1110.06689096275 1241326.95038098 1114.14853156165 1118.24518007594 33.4401731466202 1488 1 0 0
"63" 3 2537.62835349462 1092.63525415494 "000" 3 412458037.130427 2502.77099462366 1053.81612262961 1108758.1643291 1052.97586122812 1052.13626980995 32.4366501015434 1488 1 0 0
"64" 3 2534.24350806452 1079.34387138905 "000" 4 455319182.323096 2516.31037634409 1107.67908710028 1223976.29656746 1106.33462233063 1104.99178942849 33.2414167782977 1488 1 0 0
"65" 3 2533.07664650538 1089.02585283455 "000" 5 424087896.622351 2520.97782258065 1069.08712688766 1140021.22747944 1067.71776583488 1066.35015875486 32.655017359586 1488 1 0 0
"66" 3 2539.9419422043 1085.33839446896 "100" 1 8562755.82220457 2493.51663978495 1083.26919846879 23018.1608123779 151.71737149179 21.2487910160413 4.60964109405942 1488 2 0.98284637394604 0.982834830456098
"67" 3 2508.39395833333 1077.61147235921 "100" 2 7631149.6853848 2619.70857526882 1110.06689096275 20513.8432402817 143.226545166326 18.4798262224452 4.29881683983456 1488 2 0.982081860336785 0.982069802369313
"68" 3 2537.62835349462 1092.63525415494 "100" 3 7954465.5283933 2502.77099462366 1053.81612262961 21382.9718505196 146.229175784177 20.2909894727766 4.50455208347918 1488 2 0.982774638813583 0.982763047049662
"69" 3 2534.24350806452 1079.34387138905 "100" 4 7556070.61336321 2516.31037634409 1107.67908710028 20312.0177778581 142.520236380165 18.3374571339353 4.28222572197395 1488 2 0.982108802593638 0.982096762756891
"70" 3 2533.07664650538 1089.02585283455 "100" 5 7134542.61685548 2520.97782258065 1069.08712688766 19178.8780022997 138.487826188079 17.9394901687138 4.23550353189721 1488 2 0.982175141937476 0.982163146743625
"71" 3 2539.9419422043 1085.33839446896 "010" 1 28830157.192882 2493.51663978495 1083.26919846879 77500.4225615107 278.388977083344 71.5430870471147 8.45831466943118 1488 2 0.933525652444863 0.933480918698191
"72" 3 2508.39395833333 1077.61147235921 "010" 2 30376712.4484697 2619.70857526882 1110.06689096275 81657.829162553 285.758340495169 73.5611789049323 8.57678138376701 1488 2 0.933404140179888 0.933359324661839
"73" 3 2537.62835349462 1092.63525415494 "010" 3 28979099.5782169 2502.77099462366 1053.81612262961 77900.8053177873 279.107157410532 73.9225787544414 8.5978240709171 1488 2 0.934471890106918 0.934427793128525
"74" 3 2534.24350806452 1079.34387138905 "010" 4 27349929.5120162 2516.31037634409 1107.67908710028 73521.3158925168 271.148143811675 66.3742023738871 8.14703641662949 1488 2 0.93191527813588 0.931869460691826
"75" 3 2533.07664650538 1089.02585283455 "010" 5 30077087.230107 2520.97782258065 1069.08712688766 80852.3850271694 284.345538082048 75.6274984458448 8.69640721481261 1488 2 0.934671047259455 0.934627084303371
"76" 3 2539.9419422043 1085.33839446896 "110" 1 4657757.2567405 2493.51663978495 1083.26919846879 12520.8528407003 111.896616752698 11.5583945877891 3.39976390177157 1488 3 0.98994613388886 0.989932593328441
"77" 3 2508.39395833333 1077.61147235921 "110" 2 4346127.79889548 2619.70857526882 1110.06689096275 11683.1392443427 108.088571293836 10.524716428764 3.24418193521326 1488 3 0.989632558243905 0.989618595359385
"78" 3 2537.62835349462 1092.63525415494 "110" 3 4618081.19522507 2502.77099462366 1053.81612262961 12414.1967613577 111.419014361812 11.7802304356289 3.43223402984541 1488 3 0.990082664580648 0.990069307899949
"79" 3 2534.24350806452 1079.34387138905 "110" 4 4337049.1891166 2516.31037634409 1107.67908710028 11658.7343793457 107.97561937468 10.5253719377029 3.24428296202765 1488 3 0.989674489411335 0.989660582999767
"80" 3 2533.07664650538 1089.02585283455 "110" 5 4492001.13203579 2520.97782258065 1069.08712688766 12075.2718603113 109.887541879465 11.2949371071981 3.36079411853778 1488 3 0.989929664217447 0.989916101475652
"81" 3 2539.9419422043 1085.33839446896 "001" 1 22953474.795074 2493.51663978495 1083.26919846879 61702.88923407 248.400662708597 56.9598852448565 7.5471773031284 1488 2 0.951798940122892 0.951766503339664
"82" 3 2508.39395833333 1077.61147235921 "001" 2 19361404.7276225 2619.70857526882 1110.06689096275 52046.7869022111 228.137649024029 46.8861717486875 6.8473477893771 1488 2 0.949093503744592 0.949059246344689
"83" 3 2537.62835349462 1092.63525415494 "001" 3 22268833.2699694 2502.77099462366 1053.81612262961 59862.4550267995 244.668050686638 56.8054082124152 7.53693626166595 1488 2 0.95212474959101 0.952092532060453
"84" 3 2534.24350806452 1079.34387138905 "001" 4 22157659.5217871 2516.31037634409 1107.67908710028 59563.600865019 244.056552595949 53.7733370239447 7.33303054841208 1488 2 0.95082494509643 0.950791852865673
