"dataset" "k_fold" "response_mean" "response_sd" "num_training_samples" "superset_num_coefficients" "subset_predictors" "superset_predictors" "added_predictor" "predictor_coefficient" "predictor_pvalue" "anova_pvalue" "superset_mse" "superset_test_sd" "mse_diff" "mse_ratio" "std_mse_diff" "std_mse_ratio" "superset_r_sq" "superset_r_sq_adj" "r_sq_diff" "r_sq_ratio" "r_sq_adj_diff" "r_sq_adj_ratio"
"1" 1 1 2550.37309811828 1103.03095290235 1488 2 "000" "100" "SMI" 0.646495331986655 0 1777781356.22918 19127.1946393416 1006.0919534387 1000091.0296169 53.2863414355535 994.035412169552 53.2863414355535 0.982634435681364 0.982622749568094 0.982634435681364 Inf 0.982622749568094 Inf
"2" 1 1 2550.37309811828 1103.03095290235 1488 2 "000" "010" "CAC" 1.80831686293367 0 1691971503.54335 75399.9026455948 1006.0919534387 943818.321610651 13.5175005337463 938.103439138737 13.5175005337463 0.935204690806164 0.935161086964176 0.935204690806164 Inf 0.935161086964176 Inf
"3" 1 1 2550.37309811828 1103.03095290235 1488 2 "000" "001" "FTSE" 1.08473154152679 0 1722557104.67098 55441.5561813788 1006.0919534387 963776.668074867 18.3836510815433 957.940936492732 18.3836510815433 0.952110293285747 0.952078066026854 0.952110293285747 Inf 0.952078066026854 Inf
"4" 1 1 2550.37309811828 1103.03095290235 1488 3 "100" "110" "CAC" 0.506795611710024 7.82194960803898e-184 13528640.4959098 11646.3246564227 1006.0919534387 7480.86998291896 1.6423374071745 7.43557281951246 1.6423374071745 0.990112131390487 0.990098814395727 0.00747769570912316 1.00760984496125 0.00747606482763252 1.00760827574053
"5" 1 1 2550.37309811828 1103.03095290235 1488 3 "100" "101" "FTSE" -0.345511456649248 2.55754373978216e-38 3352899.1819257 17427.5169890515 1006.0919534387 1699.6776502901 1.09752838866018 1.68938598950207 1.09752838866018 0.98448768618598 0.984466794180843 0.0018532505046156 1.00188600199354 0.00184404461274845 1.00187665572933
"6" 1 1 2550.37309811828 1103.03095290235 1488 3 "010" "110" "SMI" 0.478974906518271 0 99338493.1817355 11646.3246564227 1006.0919534387 63753.5779891721 6.47413710934235 63.3675458503275 6.47413710934235 0.990112131390487 0.990098814395727 0.0549074405843234 1.05871168218478 0.0549377274315509 1.05874680650998
"7" 1 1 2550.37309811828 1103.03095290235 1488 3 "010" "011" "FTSE" 0.621892240859086 0 89350299.4464254 18040.728850462 1006.0919534387 57359.1737951328 4.17942663351231 57.011860197357 4.17942663351231 0.984591349501206 0.984570597109962 0.0493866586950419 1.05280839497551 0.0494095101457854 1.05283529312173
"8" 1 1 2550.37309811828 1103.03095290235 1488 4 "110" "111" "FTSE" -0.022452494945291 0.339568487105735 10994.8999867365 11656.6225531442 1006.0919534387 -10.2978967215768 0.999116562565647 -0.0102355422746196 0.999116562565647 0.990118208609886 0.990098231942655 6.07721939827055e-06 1.00000613791025 -5.82453072106581e-07 0.999999411722281
"9" 1 1 2550.37309811828 1103.03095290235 1488 3 "001" "101" "SMI" 0.847241249177855 0 58577150.7401213 17427.5169890515 1006.0919534387 38014.0391923273 3.18126536420586 37.7838616663219 3.18126536420586 0.98448768618598 0.984466794180843 0.032377392900233 1.03400592675928 0.0323887281539887 1.03401898364191
"10" 1 1 2550.37309811828 1103.03095290235 1488 3 "001" "011" "CAC" 0.848336089828247 0 58764698.3187953 18040.728850462 1006.0919534387 37400.8273309168 3.07313283409606 37.1743628433619 3.07313283409606 0.984591349501206 0.984570597109962 0.032481056215459 1.03411480418237 0.0324925310831073 1.03412801139165
"11" 1 1 2550.37309811828 1103.03095290235 1488 4 "101" "111" "CAC" 0.499045401769777 1.66630432831741e-147 10186736.2139708 11656.6225531442 1006.0919534387 5770.89443590729 1.49507431587468 5.73595128773577 1.49507431587468 0.990118208609886 0.990098231942655 0.00563052242390583 1.00571924108642 0.00563143776181196 1.0057202922385
"12" 1 1 2550.37309811828 1103.03095290235 1488 4 "011" "111" "SMI" 0.494581869159202 2.42667234737664e-145 9999188.63529681 11656.6225531442 1006.0919534387 6384.10629731777 1.54768062259987 6.34545011069584 1.54768062259987 0.990118208609886 0.990098231942655 0.00552685910867978 1.00561335330793 0.00552763483269336 1.00561425950452
"13" 1 2 2522.27901209678 1083.21168153575 1488 2 "000" "100" "SMI" 0.64989798672467 0 1713758166.98085 20385.9043201539 1091.91497835923 1170442.08388363 58.41428319795 1071.91686814518 58.41428319795 0.982227070336622 0.982215110087858 0.982227070336622 Inf 0.982215110087858 Inf
"14" 1 2 2522.27901209678 1083.21168153575 1488 2 "000" "010" "CAC" 1.80671320742457 0 1627969994.84649 76555.433142888 1091.91497835923 1114272.5550609 15.5551074471899 1020.47556553832 15.5551074471899 0.933058251416553 0.933013203133523 0.933058251416553 Inf 0.933013203133523 Inf
"15" 1 2 2522.27901209678 1083.21168153575 1488 2 "000" "001" "FTSE" 1.08866101597562 0 1658536852.67342 56665.3437468576 1091.91497835923 1134162.64445693 21.0151021676247 1038.69135137352 21.0151021676247 0.950577406564116 0.950544147752921 0.950577406564116 Inf 0.950544147752921 Inf
